Nick Allegretti,73,G,4-Jun,320,24,2,Illinois
Deandre Baker,30,CB,11-May,180,23,2,Georgia
Le'Veon Bell,26,RB,1-Jun,225,28,7,Michigan State
Bashaud Breeland,21,CB,11-May,195,28,7,Clemson
Harrison Butker,7,K,4-Jun,205,25,4,Georgia Tech
Frank Clark,55,DE,3-Jun,260,27,6,Michigan
Mike Danna,51,DE,2-Jun,261,23,R,Michigan
Yasir Durant,79,OL,6-Jun,331,22,R,Missouri
Clyde Edwards-Helaire,25,RB,7-May,207,21,R,LSU
Rashad Fenton,27,CB,11-May,188,23,2,South Carolina
Eric Fisher,72,T,7-Jun,315,29,8,Central Michigan
Willie Gay,50,LB,1-Jun,243,22,R,Mississippi State
Antonio Hamilton,20,CB,Jun-00,195,27,5,South Carolina State
Mecole Hardman,17,WR,10-May,187,22,2,Georgia
Darius Harris,47,LB,2-Jun,238,24,1,Middle Tennessee
Chad Henne,4,QB,3-Jun,222,35,13,Michigan
Tyreek Hill,10,WR,10-May,185,26,5,West Alabama
Anthony Hitchens,53,LB,Jun-00,235,28,7,Iowa
Chris Jones,95,DT,6-Jun,310,26,5,Mississippi State
Nick Keizer,48,TE,4-Jun,251,25,1,Grand Valley State
Travis Kelce,87,TE,5-Jun,260,31,8,Cincinnati
BoPete Keyes,29,CB,1-Jun,202,23,R,Tulane
Daniel Kilgore,67,C,3-Jun,291,33,10,Appalachian State
Tanoh Kpassagnon,92,DE,7-Jun,289,26,4,Villanova
Chris Lammons,45,DB,10-May,190,24,2,South Carolina
Patrick Mahomes,15,QB,3-Jun,230,25,4,Texas Tech
Tyrann Mathieu,32,S,9-May,190,28,8,LSU
Ben Niemann,56,LB,2-Jun,235,25,3,Iowa
Derrick Nnadi,91,DT,1-Jun,312,24,3,Florida State
Alex Okafor,57,DE,4-Jun,261,29,8,Texas
Mike Pennel,64,DT,4-Jun,332,29,7,Colorado State Pueblo
Byron Pringle,13,WR,1-Jun,203,27,3,Kansas State
Martinas Rankin,74,T,5-Jun,311,26,3,Mississippi State
Austin Reiter,62,C,3-Jun,300,29,5,South Florida
Mike Remmers,75,OL,5-Jun,308,31,8,Oregon State
Demarcus Robinson,11,WR,1-Jun,203,26,5,Florida
Khalen Saunders,99,DT,Jun-00,324,24,2,Western Illinois
Ricky Seals-Jones,83,TE,5-Jun,243,25,4,Texas A&M
Anthony Sherman,42,FB,10-May,242,32,10,Connecticut
Emmanuel Smith,43,LB,2-Jun,240,25,1,Vanderbilt
L'Jarius Sneed,38,DB,Jun-00,192,23,R,Louisiana Tech
Daniel Sorensen,49,S,2-Jun,208,30,7,Brigham Young
Darwin Thompson,34,RB,8-May,200,23,2,Utah State
Juan Thornhill,22,S,Jun-00,205,25,2,Virginia
Tommy Townsend,5,P,1-Jun,191,24,R,Florida
Charvarius Ward,35,CB,1-Jun,196,24,3,Middle Tennessee State
Tim Ward,90,DE,6-Jun,255,23,1,Old Dominion
Sammy Watkins,14,WR,1-Jun,211,27,7,Clemson
Armani Watts,23,S,11-May,205,24,3,Texas A&M
Tershawn Wharton,98,DT,4-Jun,255,22,R,Missouri S&T
Darrel Williams,31,RB,11-May,224,25,3,LSU
Damien Wilson,54,LB,Jun-00,245,27,6,Minnesota
James Winchester,41,LS,3-Jun,240,31,6,Oklahoma
Stefen Wisniewski,61,G,3-Jun,305,31,10,Penn State
Andrew Wylie,77,G,6-Jun,309,26,3,Eastern Michigan
Deon Yelder,82,TE,4-Jun,255,25,3,Western Kentucky