,64,OL,5-Jun,314,25,2,Notre Dame
Alex Bars,,,,,,,
Deon Bush,26,S,Jun-00,200,27,5,Miami (Fla.)
DeAndre Carter,19,WR,8-May,190,27,3,Sacramento State
Rashaad Coward,69,OL,5-Jun,326,26,3,Old Dominion
Mario Edwards Jr.,97,DE,3-Jun,280,26,6,Florida State
Nick Foles,9,QB,6-Jun,243,31,9,Arizona
Kyle Fuller,23,CB,11-May,194,28,7,Virginia Tech
Tashaun Gipson Sr.,38,S,1-Jun,212,30,9,Wyoming
Trevis Gipson,99,OLB,4-Jun,255,23,R,Tulsa
Jimmy Graham,80,TE,7-Jun,265,34,11,Miami
Arlington Hambright,71,LG,5-Jun,300,24,R,Colorado
Demetrius Harris,86,TE,7-Jun,230,29,7,WI - Milwaukee
Akiem Hicks,96,DT,4-Jun,347,31,9,Regina (Canada)
J.P. Holtz,81,TE,3-Jun,255,27,2,Pittsburgh
DeAndre Houston-Carson,36,S,Jun-00,202,27,5,William & Mary
Germain Ifedi,74,OL,5-Jun,340,26,5,Texas A&M
Joel Iyiegbuniwe,45,ILB,1-Jun,226,25,3,Western Kentucky
Eddie Jackson,39,S,Jun-00,204,27,4,Alabama
John Jenkins,90,NT,3-Jun,327,31,8,Georgia
Jaylon Johnson,33,CB,Jun-00,195,21,R,Utah
Cole Kmet,85,TE,6-Jun,262,21,R,Notre Dame
Charles Leno Jr.,72,LT,3-Jun,307,29,7,Boise State
Khalil Mack,52,OLB,3-Jun,260,29,7,Buffalo
Daniel McCullers,75,NT,7-Jun,352,28,7,Tennessee
Sherrick McManis,27,S,11-May,203,33,11,Northwestern
Anthony Miller,17,WR,11-May,199,26,3,Memphis
Barkevious Mingo,50,OLB,5-Jun,238,30,8,LSU
David Montgomery,32,RB,10-May,222,23,2,Iowa State
Darnell Mooney,11,WR,11-May,174,23,R,Tulane
Sam Mustipher,67,OL,2-Jun,311,24,1,Notre Dame
Ryan Nall,35,RB,2-Jun,239,25,2,Oregon State
Bilal Nichols,98,NT,3-Jun,313,24,3,Delaware
Pat O'Donnell,16,P,4-Jun,212,29,7,Miami (Fla.)
Cordarrelle Patterson,84,WR,2-Jun,238,29,8,Tennessee
Artavis Pierce,46,RB,11-May,208,24,R,Oregon State
Robert Quinn,94,OLB,4-Jun,250,30,10,North Carolina
Riley Ridley,88,WR,1-Jun,200,24,2,Georgia
Allen Robinson II,12,WR,2-Jun,220,27,7,Penn State
Cairo Santos,2,K,8-May,160,29,6,Tulane
Patrick Scales,48,LS,3-Jun,228,32,5,Utah State
Duke Shelley,20,CB,8-May,183,24,2,Kansas State
Lachavious Simmons,73,OL,5-Jun,315,24,R,Tennessee State
Buster Skrine,24,CB,9-May,187,31,10,Tennessee-Chattanooga
Roquan Smith,58,ILB,Jun-00,230,23,3,Georgia
Jason Spriggs,78,LT,6-Jun,301,26,5,Indiana
Danny Trevathan,59,ILB,Jun-00,237,30,9,Kentucky
Mitchell Trubisky,10,QB,2-Jun,215,26,4,North Carolina
Brent Urban,92,DT,7-Jun,300,29,7,Virginia
James Vaughters,93,OLB,1-Jun,256,27,1,Stanford
Kindle Vildor,22,CB,11-May,190,23,R,Georgia Southern
Cody Whitehair,65,OL,3-Jun,309,28,5,Kansas State
Javon Wims,83,WR,2-Jun,221,26,3,Georgia
Josh Woods,55,ILB,1-Jun,236,24,2,Maryland