,26,S,11-May,205,28,5,Connecticut
Andrew Adams,,,,,,,
Antony Auclair,82,TE,6-Jun,256,27,4,Laval (Canada)
Shaquil Barrett,58,OLB,2-Jun,250,28,7,Colorado State
Tom Brady,12,QB,4-Jun,225,43,21,Michigan
Cameron Brate,84,TE,5-Jun,245,29,6,Harvard
Antonio Brown,81,WR,10-May,185,32,10,Central Michigan
Alex Cappa,65,G,6-Jun,305,25,3,Humboldt State
Jack Cichy,48,ILB,2-Jun,238,24,3,Wisconsin
Ross Cockrell,43,CB,Jun-00,190,29,7,Duke
Lavonte David,54,ILB,1-Jun,233,30,9,Nebraska
Carlton Davis,24,CB,1-Jun,206,24,3,Auburn
Khalil Davis,94,DL,1-Jun,308,24,R,Nebraska
Jamel Dean,35,CB,1-Jun,206,24,2,Auburn
Mike Edwards,32,S,10-May,205,24,2,Kentucky
Mike Evans,13,WR,5-Jun,231,27,7,Texas A&M
Leonard Fournette,28,RB,Jun-00,228,25,4,LSU
Blaine Gabbert,11,QB,4-Jun,235,31,10,Missouri
William Gholston,92,DL,6-Jun,281,29,8,Michigan State
Cam Gill,49,OLB,3-Jun,240,23,R,Wagner
Chris Godwin,14,WR,1-Jun,209,24,4,Penn State
Ryan Griffin,4,QB,5-Jun,210,31,7,Tulane
Rob Gronkowski,87,TE,6-Jun,268,31,10,Arizona
Joe Haeg,73,T,6-Jun,298,27,5,North Dakota State
Tanner Hudson,88,TE,5-Jun,239,26,2,Southern Arkansas
Ryan Jensen,66,C,4-Jun,319,29,7,Colorado State-Pueblo
Tyler Johnson,18,WR,2-Jun,206,22,R,Minnesota
Ronald Jones II,27,RB,11-May,208,23,3,USC
Jeremiah Ledbetter,95,DL,3-Jun,295,26,2,Arkansas
Ali Marpet,74,G,4-Jun,307,27,6,Hobart
LeSean McCoy,25,RB,11-May,210,32,12,Pittsburgh
Jaydon Mickens,85,WR,11-May,170,26,3,Washington
Scotty Miller,10,WR,11-May,174,23,2,Bowling Green
Kevin Minter,51,ILB,Jun-00,246,30,8,LSU
Sean Murphy-Bunting,23,CB,Jun-00,195,23,2,Central Michigan
Anthony Nelson,98,OLB,7-Jun,271,23,2,Iowa
Rakeem Nunez-Roches,56,DL,2-Jun,307,27,6,Southern Mississippi
Patrick O'Connor,79,DL,4-Jun,270,27,2,Eastern Michigan
Jason Pierre-Paul,90,OLB,5-Jun,275,32,11,South Florida
Bradley Pinion,8,P,5-Jun,240,26,6,Clemson
Chapelle Russell,53,ILB,2-Jun,236,23,R,Temple
Donovan Smith,76,T,6-Jun,338,27,6,Penn State
Ryan Smith,29,CB,11-May,189,27,5,North Carolina Central
Aaron Stinnie,64,G,3-Jun,312,26,3,James Madison
Ryan Succop,3,K,2-Jun,218,34,12,South Carolina
Ndamukong Suh,93,DL,4-Jun,313,34,11,Nebraska
Zach Triner,97,LS,2-Jun,247,29,2,Assumption
Ke'Shawn Vaughn,30,RB,10-May,214,23,R,Vanderbilt
Justin Watson,17,WR,3-Jun,215,25,3,Pennsylvania
Josh Wells,72,T,6-Jun,306,29,6,James Madison
Jordan Whitehead,33,S,10-May,198,23,3,Pittsburgh
Antoine Winfield Jr.,31,S,9-May,203,22,R,Minnesota
Tristan Wirfs,78,T,5-Jun,320,21,R,Iowa