,49,LB,Jun-00,229,25,3,Houston
Matthew Adams,,,,,,,
Mo Alie-Cox,81,TE,5-Jun,267,27,3,Virginia Commonwealth
Denico Autry,96,DT/DE,5-Jun,285,30,7,Mississippi State
Ben Banogu,52,DE,3-Jun,252,24,2,Texas Christian
Julian Blackmon,32,S,Jun-00,187,22,R,Utah
Rodrigo Blankenship,3,K,1-Jun,184,23,R,Georgia
Jacoby Brissett,7,QB,4-Jun,238,28,5,North Carolina State
DeForest Buckner,99,DT,7-Jun,295,26,5,Oregon
Trey Burton,80,TE,2-Jun,238,29,7,Florida
T.J. Carrie,38,CB,Jun-00,204,30,7,Ohio
Jack Doyle,84,TE,6-Jun,262,30,8,Western Kentucky
Ashton Dulin,16,WR,1-Jun,215,23,2,Malone University
Jacob Eason,9,QB,6-Jun,231,23,R,Washington
Zaire Franklin,44,LB,Jun-00,235,24,3,Syracuse
Jordan Glasgow,59,LB,1-Jun,226,24,R,Michigan
Mark Glowinski,64,G,4-Jun,310,28,6,West Virginia
Chaz Green,75,T,5-Jun,318,28,4,Florida
DeMichael Harris,12,WR,8-May,178,22,R,Southern Mississippi
T.Y. Hilton,13,WR,10-May,183,31,9,Florida International
Nyheim Hines,21,RB,9-May,196,24,3,North Carolina State
Will Holden,69,T,7-Jun,330,27,2,Vanderbilt
Justin Houston,50,DE,3-Jun,270,31,10,Georgia
Joey Hunt,68,C,2-Jun,299,26,4,TCU
Ryan Kelly,78,C,4-Jun,307,27,5,Alabama
Darius Leonard,53,LB,2-Jun,230,25,3,South Carolina State
Tyquan Lewis,94,DT/DE,3-Jun,277,25,3,Ohio State
Kenny Moore II,23,CB,9-May,190,25,4,Valdosta State
Al-Quadin Muhammad,97,DE,4-Jun,250,25,4,Miami (Fla.)
Quenton Nelson,56,C/G,5-Jun,330,24,3,Notre Dame
George Odum,30,S,1-Jun,202,27,3,Central Arkansas
Bobby Okereke,58,LB,1-Jun,235,24,2,Stanford
Zach Pascal,14,WR,2-Jun,214,26,3,Old Dominion
Dezmon Patmon,85,WR,4-Jun,225,22,R,Washington State
Danny Pinter,63,G,4-Jun,306,24,R,Ball State
Michael Pittman Jr.,11,WR,4-Jun,223,23,R,USC
Luke Rhodes,46,LS,2-Jun,238,28,4,William & Mary
Xavier Rhodes,27,CB,1-Jun,218,30,8,Florida State
Philip Rivers,17,QB,5-Jun,228,39,17,North Carolina State
Isaiah Rodgers,34,CB,10-May,170,23,R,Massachusetts
Rigoberto Sanchez,8,P,Jun-00,195,26,4,Hawaii
Braden Smith,72,T/G,6-Jun,315,24,3,Auburn
Tremon Smith,35,CB,11-May,190,24,3,Central Arkansas
E.J. Speed,45,LB,3-Jun,224,25,2,Tarleton State
Taylor Stallworth,76,DT,2-Jun,305,25,2,South Carolina
Grover Stewart,90,DT,4-Jun,315,27,4,Albany State (Ga.)
Jonathan Taylor,28,RB,10-May,226,21,R,Wisconsin
Noah Togiai,86,TE,4-Jun,244,23,R,Oregon State
Kemoko Turay,57,DE,5-Jun,248,25,3,Rutgers
Anthony Walker,54,LB,1-Jun,230,25,4,Northwestern
Khari Willis,37,S,11-May,213,24,2,Michigan State
Tavon Wilson,31,S,Jun-00,208,30,9,Illinois
Rock Ya-Sin,26,CB,Jun-00,190,24,2,Temple