,23,RB,10-May,217,21,R,Florida State
Cam Akers,,,,,,,
Brian Allen,55,OL,2-Jun,303,25,3,Michigan State
Tremayne Anchrum Jr.,72,OL,2-Jun,314,22,R,Clemson
Austin Blythe,66,OL,3-Jun,298,28,5,Iowa
Michael Brockers,90,DL,5-Jun,305,30,9,LSU
Malcolm Brown,34,RB,11-May,222,27,5,Texas
Raymond Calais,30,RB,8-May,188,22,R,Louisiana-Lafayette
Austin Corbett,63,OL,4-Jun,306,25,3,Nevada
Aaron Donald,99,DL,1-Jun,280,29,7,Pittsburgh
Samson Ebukam,50,OLB,3-Jun,245,25,4,Eastern Washington
David Edwards,73,OL,6-Jun,308,23,2,Wisconsin
Gerald Everett,81,TE,3-Jun,240,26,4,South Alabama
Leonard Floyd,54,OLB,5-Jun,240,28,5,Georgia
Morgan Fox,97,DL,3-Jun,275,26,4,Colorado State-Pueblo
Jordan Fuller,32,S,2-Jun,203,22,R,Ohio State
Greg Gaines,91,DL,1-Jun,312,24,2,Washington
Matt Gay,1,K,Jun-00,232,26,2,Utah
Jared Goff,16,QB,4-Jun,222,26,5,California
Rob Havenstein,79,OL,8-Jun,330,28,6,Wisconsin
Johnny Hekker,6,P,5-Jun,241,30,9,Oregon State
Darrell Henderson Jr.,27,RB,8-May,208,23,2,Memphis
Tyler Higbee,89,TE,6-Jun,255,27,5,Western Kentucky
Troy Hill,22,CB,11-May,183,29,5,Oregon
Justin Hollins,58,LB,5-Jun,248,24,2,Oregon
Brycen Hopkins,88,TE,4-Jun,245,23,R,Purdue
Trishton Jackson,83,WR,1-Jun,191,22,R,Syracuse
Van Jefferson,12,WR,1-Jun,200,24,R,Florida
John Johnson III,43,S,Jun-00,209,25,4,Boston College
Xavier Jones,35,RB,11-May,208,23,R,Southern Methodist
Sebastian Joseph-Day,69,DL,4-Jun,310,25,3,Rutgers
Cooper Kupp,10,WR,2-Jun,208,27,4,Eastern Washington
Terrell Lewis,52,OLB,5-Jun,262,22,R,Alabama
David Long Jr.,25,CB,11-May,196,22,2,Michigan
Jake McQuaide,44,LS,2-Jun,235,33,10,Ohio State
Johnny Mundt,82,TE,4-Jun,233,26,3,Oregon
Joe Noteboom,70,OL,5-Jun,321,25,3,TCU
Ogbonnia Okoronkwo,45,OLB,2-Jun,253,25,3,Oklahoma
Natrez Patrick,57,OLB,3-Jun,242,23,2,Georgia
Jalen Ramsey,20,CB,1-Jun,208,26,5,Florida State
J.R. Reed,36,DB,1-Jun,194,24,R,Georgia
Troy Reeder,51,ILB,3-Jun,245,26,2,Delaware
Josh Reynolds,11,WR,3-Jun,196,25,4,Texas A&M
Derek Rivers,49,DE,5-Jun,250,26,4,Youngstown State
A'Shawn Robinson,94,DL,4-Jun,330,25,5,Alabama
Nick Scott,33,S,11-May,201,25,2,Penn State
Coleman Shelton,65,OL,4-Jun,299,25,2,Washington
Nsimba Webster,14,WR,10-May,180,24,2,Eastern Washington
Darious Williams,31,CB,9-May,187,27,3,Alabama-Birmingham
John Wolford,9,QB,1-Jun,200,25,1,Wake Forest
Robert Woods,17,WR,Jun-00,195,28,8,USC
Kenny Young,41,ILB,1-Jun,234,26,3,UCLA