,89,TE,5-Jun,256,25,3,Oklahoma
Mark Andrews,,,,,,,
Anthony Averett,23,CB,11-May,178,26,3,Alabama
Chris Board,49,LB,2-Jun,229,25,3,North Dakota State
Tyus Bowser,54,OLB,3-Jun,242,25,4,Houston
Miles Boykin,80,WR,4-Jun,220,24,2,Notre Dame
Bradley Bozeman,77,G/C,5-Jun,325,26,3,Alabama
Ben Bredeson,67,G,5-Jun,315,22,R,Michigan
Marquise Brown,15,WR,9-May,180,23,2,Oklahoma
Orlando Brown Jr.,78,T,8-Jun,345,24,3,Oklahoma
Dez Bryant,88,WR,2-Jun,220,32,10,Oklahoma State
Calais Campbell,93,DE,8-Jun,300,34,13,Miami (Fla.)
Chuck Clark,36,S,Jun-00,205,25,4,Virginia Tech
Trystan Colon-Castillo,63,C,3-Jun,313,22,R,Missouri
Morgan Cox,46,LS,4-Jun,235,34,11,Tennessee
J.K. Dobbins,27,RB,10-May,212,22,R,Ohio State
Devin Duvernay,13,WR,11-May,210,23,R,Texas
Gus Edwards,35,RB,1-Jun,238,25,3,Rutgers
DeShon Elliott,32,S,1-Jun,210,23,3,Texas
Justin Ellis,71,DT,2-Jun,350,30,7,Louisiana Tech
Jaylon Ferguson,45,OLB,5-Jun,275,25,2,Louisiana Tech
D.J. Fluker,70,G,5-Jun,342,29,8,Alabama
L.J. Fort,58,LB,Jun-00,232,31,6,Northern Iowa
Malik Harrison,40,LB,3-Jun,247,22,R,Ohio State
Justice Hill,43,RB,10-May,200,23,2,Oklahoma State
Marlon Humphrey,44,CB,Jun-00,197,24,4,Alabama
Mark Ingram II,21,RB,9-May,215,31,10,Alabama
Lamar Jackson,8,QB,2-Jun,212,24,3,Louisville
Matthew Judon,99,OLB,3-Jun,261,28,5,Grand Valley State
Anthony Levine Sr.,41,DB/LB,11-May,207,33,9,Tennessee State
Justin Madubuike,92,DT,3-Jun,293,23,R,Texas A&M
Pernell McPhee,90,LB,3-Jun,265,32,10,Mississippi State
Patrick Mekari,65,G/C,4-Jun,308,23,2,Cal-Berkeley
Chris Moore,10,WR/RS,1-Jun,200,27,5,Cincinnati
Yannick Ngakoue,91,DE,2-Jun,246,25,5,Maryland
Marcus Peters,24,CB,Jun-00,195,27,6,Washington
Tyre Phillips,74,G,5-Jun,344,23,R,Mississippi State
Ben Powers,72,G,4-Jun,310,24,2,Oklahoma
James Proche II,11,WR,11-May,193,24,R,Southern Methodist
Patrick Queen,48,LB,Jun-00,232,21,R,LSU
Patrick Ricard,42,FB/DL,3-Jun,311,26,4,Maine
Jordan Richards,28,S,11-May,210,27,6,Stanford
Matt Skura,68,G/C,3-Jun,313,27,4,Duke
Jimmy Smith,22,CB,2-Jun,210,32,10,Colorado
Willie Snead IV,83,WR/RS,11-May,205,28,6,Ball State
Eric Tomlinson,85,TE,6-Jun,263,28,5,Texas-El Paso
Johnny Townsend,6,P,1-Jun,205,25,2,Florida
Justin Tucker,9,K,1-Jun,183,31,9,Texas
Jihad Ward,53,DE,5-Jun,287,26,5,Illinois
Broderick Washington,96,DT,3-Jun,304,24,R,Texas Tech
Kristian Welch,57,ILB,3-Jun,240,22,R,Iowa
Brandon Williams,98,DT,1-Jun,336,31,8,Missouri Southern State
Tramon Williams,29,CB,11-May,191,37,14,Louisiana Tech
Derek Wolfe,95,DE,5-Jun,285,30,9,Cincinnati