,56,LB,11-May,225,30,8,Auburn
Daren Bates,,,,,,,
Cameron Batson,13,WR,8-May,175,25,3,Texas Tech
Khari Blasingame,41,FB/RB,Jun-00,233,24,2,Vanderbilt
Aaron Brewer,62,C,1-Jun,274,23,R,Texas State
A.J. Brown,11,WR,Jun-00,226,23,2,Mississippi
Malcolm Butler,21,CB,11-May,190,30,7,West Alabama
Kevin Byard,31,FS,11-May,212,27,5,Middle Tennessee State
Will Compton,53,LB,1-Jun,235,31,7,Nebraska
Jack Crawford,94,DL,5-Jun,274,32,9,Penn State
Corey Davis,84,WR,3-Jun,209,25,4,Western Michigan
Nate Davis,64,OL,3-Jun,316,24,2,Charlotte
Matt Dickerson,92,DE,5-Jun,292,25,3,UCLA
Jamil Douglas,75,G/C,4-Jun,309,28,3,Arizona State
Nick Dzubnar,49,LB,1-Jun,240,29,6,Cal Poly-S.L.O.
Darrynton Evans,32,RB,10-May,203,22,R,Appalachian State
Rashaan Evans,54,LB,2-Jun,232,25,3,Alabama
Anthony Firkser,86,TE,2-Jun,246,25,3,Harvard
D'Onta Foreman,45,RB,1-Jun,236,24,3,Texas
Kristian Fulton,26,CB,11-May,197,22,R,LSU
Derrick Henry,22,RB,3-Jun,247,27,5,Alabama
Amani Hooker,37,DB,11-May,210,22,2,Iowa
Adoree' Jackson,25,CB,11-May,185,25,4,USC
Chris Jackson,35,DB,10-May,193,22,R,Marshall
Ben Jones,60,C,3-Jun,308,31,9,Georgia
DaQuan Jones,90,DL,4-Jun,322,29,7,Penn State
Joshua Kalu,46,DB,Jun-00,203,25,2,Nebraska
Dennis Kelly,71,T,8-Jun,321,30,9,Purdue
Brett Kern,6,P,2-Jun,214,34,13,Toledo
Desmond King,33,DB,10-May,200,26,4,Iowa
Harold Landry III,58,OLB,2-Jun,252,24,3,Boston College
"David Long, Jr. ",51,LB,11-May,227,22,2,West Virginia
Jeremy McNichols,28,RB,9-May,205,25,1,Boise State
Larrell Murchison,91,DL,2-Jun,297,23,R,North Carolina State
Marshall Newhouse,78,OL,4-Jun,330,32,11,TCU
Kareem Orr,36,CB,11-May,195,24,1,Chattanooga
Matt Overton,47,LS,1-Jun,243,35,8,Western Washington
Senorise Perry,20,RB,Jun-00,210,29,6,Louisville
MyCole Pruitt,85,TE,2-Jun,245,28,5,Southern Illinois
David Quessenberry,72,OL,5-Jun,310,30,2,San Jose State
Wyatt Ray,57,DE/OLB,3-Jun,250,24,1,Boston College
Kalif Raymond,14,WR,8-May,182,26,4,Holy Cross
Derick Roberson,50,OLB,3-Jun,250,25,2,Sam Houston State
Rodger Saffold III,76,G,5-Jun,325,32,11,Indiana
Jeffery Simmons,98,DL,4-Jun,305,23,2,Mississippi State
Jonnu Smith,81,TE,3-Jun,248,25,4,Florida International
Tye Smith,23,CB,Jun-00,195,27,5,Towson
Geoff Swaim,87,TE,4-Jun,260,27,6,Texas
Ryan Tannehill,17,QB,4-Jun,217,32,9,Texas A&M
Kenny Vaccaro,24,S,Jun-00,214,29,8,Texas
Nick Westbrook-Ikhine,15,WR,2-Jun,211,23,R,Indiana
Logan Woodside,5,QB,1-Jun,213,25,1,Toledo