,93,DT,3-Jun,300,25,4,Alabama
Jonathan Allen,,,,,,,
Troy Apke,30,S,1-Jun,205,25,3,Penn State
Peyton Barber,34,RB,11-May,225,26,5,Auburn
Marcus Baugh,85,TE,4-Jun,245,26,2,Ohio State
Jon Bostic,53,LB,1-Jun,245,29,8,Florida
Kamren Curl,31,S,2-Jun,198,21,R,Arkansas
Ronald Darby,23,CB,11-May,193,27,6,Florida State
Thomas Davis Sr. ,58,LB,1-Jun,235,37,16,Georgia
Robert Foster,19,WR,2-Jun,196,26,3,Alabama
Kendall Fuller,29,CB,11-May,198,25,5,Virginia Tech
Antonio Gandy-Golden,10,WR,4-Jun,223,22,R,Liberty
Antonio Gibson,24,RB,2-Jun,220,22,R,Memphis
Taylor Heinicke,4,QB,1-Jun,210,27,4,Old Dominion
Cole Holcomb,55,LB,1-Jun,240,24,2,North Carolina
Dustin Hopkins,3,K,2-Jun,205,30,7,Florida State
Khaleke Hudson,47,LB,Jun-00,220,23,R,Michigan
Keith Ismael,60,C,3-Jun,310,22,R,San Diego State
Danny Johnson,32,CB,9-May,190,25,3,Southern University
Mychal Kendricks,48,LB,11-May,240,30,9,California
Ryan Kerrigan,91,DE,4-Jun,265,32,10,Purdue
Jordan Kunaszyk,59,LB,3-Jun,235,24,2,California
Cornelius Lucas,78,T,8-Jun,327,29,6,Kansas State
Cole Luke,46,CB,11-May,200,25,3,Notre Dame
Wes Martin,67,G,3-Jun,315,24,2,Indiana
J.D. McKissic,41,RB,10-May,195,27,4,Arkansas State
Terry McLaurin,17,WR,Jun-00,210,25,2,Ohio State
Lamar Miller,35,RB,10-May,221,29,9,Miami (Fla.)
Steven Montez,6,QB,5-Jun,235,23,R,Colorado
Fabian Moreau,25,CB,Jun-00,204,26,4,UCLA
Jimmy Moreland,20,CB,11-May,182,25,2,James Madison
Morgan Moses,76,T,6-Jun,317,29,7,Virginia
Jared Norris,50,LB,1-Jun,238,27,4,Utah
Daron Payne,94,DT,3-Jun,320,23,3,Alabama
Kevin Pierre-Louis,54,LB,Jun-00,231,29,7,Boston College
Jeremy Reaves,39,DB,11-May,200,24,2,South Alabama
Chase Roullier,73,C,4-Jun,312,27,4,Wyoming
Brandon Scherff,75,G,5-Jun,315,29,6,Iowa
Wes Schweitzer,71,G,4-Jun,300,27,5,San Jose State
Tim Settle,97,DT,3-Jun,308,23,3,Virginia Tech
David Sharpe,72,T,6-Jun,330,25,4,Florida
Cam Sims,89,WR,5-Jun,220,25,3,Alabama
Steven Sims Jr.,15,WR,10-May,190,23,2,Kansas
Alex Smith,11,QB,4-Jun,215,36,16,Utah
James Smith-Williams,96,DE,4-Jun,265,23,R,North Carolina State
Jeremy Sprinkle,87,TE,5-Jun,255,26,4,Arkansas
David Steinmetz,66,T,8-Jun,321,25,2,Purdue
Nick Sundberg,57,LS,1-Jun,254,33,11,California
Montez Sweat,90,DE,6-Jun,262,24,2,Mississippi State
Logan Thomas,82,TE,6-Jun,250,29,6,Virginia Tech
Casey Toohill,95,DE,5-Jun,254,24,R,Stanford
Tress Way,5,P,1-Jun,220,30,7,Oklahoma
Isaiah Wright,83,WR,2-Jun,220,23,R,Temple
Chase Young,99,DE,5-Jun,264,21,R,Ohio State